Name;Kurzbeschreibung;Primäres Datenbankmodell;Punkte;Rang; Suchmaschinen;Website;Technische Dokumentation;Entwickler;Erscheinungsjahr;Aktuelle Version;Lizenz;Ausschließlich ein Cloud-Service;DBaaS Angebote;Implementierungssprache;Server Betriebssysteme;Datenschema;Typisierung;XML Unterstützung;Sekundärindizes;SQL Support of SQL;APIs und andere Zugriffskonzepte;Unterstützte Programmiersprachen;Server-seitige Scripts Stored Procedures;Triggers;Partitionierungsmechanismen Methoden zum Speichern von unterschiedlichen Daten auf unterschiedlichen Knoten;Replikationsmechanismen Methoden zum redundanten Speichern von Daten auf mehreren Knoten;MapReduce Bietet ein API für Map/Reduce Operationen;Konsistenzkonzept Methoden zur Sicherstellung der Konsistenz in einem verteilten System;Fremdschlüssel referenzielle Integrität;Transaktionskonzept Unterstützung zur Sicherstellung der Datenintegrität bei nicht-atomaren Datenmanipulationen;Concurrency;Durability Dauerhafte Speicherung der Daten;In-Memory Unterstützung; Graph DBMS;Berechtigungskonzept;; Document Stores; Key-Value Stores; Relational DBMS; Time Series DBMS; Multivalue DBMS;Sekundäre Datenbankmodelle; Object oriented DBMS; RDF Stores; Wide Column Stores; Navigational DBMS; Event Stores; Native XML DBMS; Content Stores
BigchainDB;BigchainDB is scalable blockchain database offering decentralization, immutability and native assets;Document Store;0,68;#184;null;www.bigchaindb.com;bigchaindb.readthedocs.io/en/latest;null;2016;null;Open Source AGPL v3;nein;;Python;Linux;schemafrei;nein;nein;null;nein;CLI Client RESTful HTTP API;Go Haskell Java JavaScript Python Ruby;null;null;Sharding;frei wählbarer Replikationsfaktor;nein;null;nein;null;ja;yes,with MongoDB ord RethinkDB;null;null;yes;null; #27 ;null;null;null;null;null;null;null;null;null;null;null;null
Sedna;null;Native XML DBMS;0,96;#155;null;sourceforge.net/projects/sedna;null;null;2006;null;Open Source Apache Version 2;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #5 ;null
Versant Object Database;null;Object oriented DBMS;1,79;#118;null;www.actian.com/data-management/versant-nosql-object-database;null;null;1988;9.2, Mai 2016;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #2 ;null;null;null;null;null;null
Dydra;null;RDF Store;0,07;#304;null;dydra.com/about;null;null;2010;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #19 ;null;null;null;null;null
CockroachDB;A horizontally scalable RDBMS backed by the RocksDB Key-Value Store;Relational DBMS;3,28;#84;null;www.cockroachlabs.com;www.cockroachlabs.com/docs/stable;null;2015;null;Open Source Apache 2.0;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #42 ;null;null;null;null;null;null;null;null;null;null
GeoSpock;Spatial and temporal data processing engine for extreme data scale;Relational DBMS;0,12;#274;null;geospock.com;docs.geospock.com/Content/Home.htm;GeoSpock;null;2.0, September 2019;kommerziell;ja;;Java, Javascript;gehostet;ja;ja;nein;temporal, categorical;ANSI SQL for query only (using Presto);JDBC;null;nein;nein;Automatic sharding;null;nein;Immediate Consistency;nein;nein;ja;ja;nein;null;Access rights for users can be defined per table;null;null;null; #128 ;null;null;Time Series DBMS;null;null;null;null;null;null;null
Google Cloud Bigtable;Google's NoSQL Big Data database service. It's the same database that powers many core Google services, including Search, Analytics, Maps, and Gmail.;Wide Column Store;2,17;#111;null;cloud.google.com/bigtable;cloud.google.com/bigtable/docs;Google;2015;null;kommerziell;ja;;null;gehostet;schemafrei;nein;nein;nein;nein;gRPC (using protocol buffers) API HappyBase (Python library) HBase compatible API (Java);C# C++ Go Java JavaScript (Node.js) Python;nein;nein;Sharding;Internal replication in Colossus, and regional replication between two clusters in different zones;ja;Immediate consistency (for a single cluster), Eventual consistency (for two or more replicated clusters);nein;Atomic single-row operations;ja;ja;nein;null;Access rights for users, groups and roles based on Google Cloud Identity and Access Management (IAM);null;null;null;null;null;null;null;null;null; #8 ;null;null;null;null
Perst;null;Object oriented DBMS;0,67;#186;null;www.mcobject.com/perst;null;null;2003;null;Open Source kommerzielle Lizenz verfügbar;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #9 ;null;null;null;null;null;null
YugaByte DB;High-performance distributed SQL database for global, internet-scale applications;Relational DBMS;0,73;#176;null;www.yugabyte.com;docs.yugabyte.com github.com/YugaByte/yugabyte-db;YugaByte;2017;1.2, March 2019;Open Source Apache 2.0, enterprise edition available;nein;;C und C++;Linux OS X;depending on used data model;ja;nein;ja;yes, PostgreSQL compatible;YCQL, an SQL-based flexible-schema API with its roots in Cassandra Query Language;C C# C++ Go Java JavaScript (Node.js) Python Ruby;nein;nein;Sharding;selectable replication factor;nein;Immediate Consistency consistency on writes and tunable consistency on reads;ja;ACID;ja;ja based on RocksDB;nein;null;ja;null;null;null; #87 ;null;null;Document Store Wide Column Store;null;null;null;null;null;null;null
RethinkDB;DBMS for the Web with a mechanism to push updated query results to applications in realtime.;Document Store;3,76;#77;null;rethinkdb.com;rethinkdb.com/docs;The Linux Foundation since July 2017;2009;2.3.6, Juli 2017;Open Source Apache Version 2;nein;;C++;Linux OS X Windows;schemafrei;ja string, binary, float, bool, date, geometry;nein;ja;nein;null;C community-supported driver C# community-supported driver C++ community-supported driver Clojure community-supported driver Dart community-supported driver Erlang community-supported driver Go community-supported driver Haskell community-supported driver Java official driver JavaScript (Node.js) official driver Lisp community-supported driver Lua community-supported driver Objective-C community-supported driver Perl community-supported driver PHP community-supported driver Python official driver Ruby official driver Scala community-supported driver;null;Client-side triggers through changefeeds;Sharding range based;Master-Slave Replikation;ja;Immediate Consistency;nein;Atomic single-document operations;ja MVCC based;ja;nein;null;ja users and table-level permissions;null; #15 ;null;null;null;null;null;null;null;null;null;null;null;null
Axibase;Skalierbares Timeseries DBMS basierend auf HBase mit integrierter Rule Engine und Visualisierung;Time Series DBMS;0,25;#248;null;axibase.com/products/axibase-time-series-database;github.com/axibase/atsd;Axibase Corporation;2013;15585;kommerziell Community Edition (single node) is free, Enterprise Edition (distributed) is paid;nein;;Java;Linux;ja;ja short, integer, long, float, double, decimal, string;nein;nein;SQL-like query language;JDBC Proprietary protocol (Network API) RESTful HTTP API;Go Java PHP Python R Ruby;ja;ja;Sharding;Master-Slave Replikation;ja;null;nein;nein;ja;ja;null;null;null;null;null;null;null; #14 ;null;null;null;null;null;null;null;null;null
WhiteDB;null;Document Store;0,08;#300;null;whitedb.org;null;null;2008;null;Open Source GPL V3;nein;;C;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #41 ;null;null;null;null;null;null;null;null;null;null;null;null
Clusterpoint;Clusterpoint seems to have stopped its further development and is removed from the DB-Engines ranking.;Document Store;null;null;null;www.npmjs.com/package/clusterpoint;null;null;null;4.0, Oktober 2015;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Riak TS;Riak TS is a distributed NoSQL database optimized for time series data and based on Riak KV;Time Series DBMS;0,22;#252;null;basho.com/products/riak-ts;null;Basho Technologies;2015;null;Open Source;nein;;Erlang;Linux OS X;schemafrei;nein;nein;eingeschränkt;nein;HTTP API Native Erlang Interface;C unofficial client library C# C++ unofficial client library Clojure unofficial client library Dart unofficial client library Erlang Go unofficial client library Groovy unofficial client library Haskell unofficial client library Java JavaScript unofficial client library Lisp unofficial client library Perl unofficial client library PHP Python Ruby Scala unofficial client library Smalltalk unofficial client library;JavaScript und Erlang;ja pre-commit hooks and post-commit hooks;Sharding;frei wählbarer Replikationsfaktor;ja;Eventual Consistency;nein links between datasets can be stored;nein;ja;ja;null;null;nein;null;null;null;null; #16 ;null;null;null;null;null;null;null;null;null
BoltDB;An embedded key-value store for Go.;Key-Value Store;0,56;#200;null;github.com/boltdb/bolt;null;null;2013;null;Open Source MIT License;nein;;Go;BSD Linux OS X Solaris Windows;schemafrei;nein;nein;nein;nein;null;Go;nein;nein;keine;keine;nein;keine;nein;ja;ja;ja;nein;null;nein;null;null; #34 ;null;null;null;null;null;null;null;null;null;null;null
LedisDB;null;Key-Value Store;0,05;#326;null;ledisdb.com;null;null;2014;null;Open Source MIT-License;nein;;Go;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #58 ;null;null;null;null;null;null;null;null;null;null;null
NCache;Open source in-memory key-value store;Key-Value Store;1,05;#145;null;www.alachisoft.com/ncache;www.alachisoft.com/resources/docs;Alachisoft;2004;5.0, Mai 2019;Open Source Apache 2.0;nein;;C#, C++, .NET;Windows;schemafrei;null;nein;ja;SQL-like query syntax (OQL) for searching the cache;LINQ Proprietäres Protokoll;.Net C# Java Visual Basic.NET;nein Unterstützung für stored procedures mit SQL-Server CLR;ja Notifications;ja;ja, mit wählbarer Konsistenz;ja;Eventual Consistency Immediate Consistency;nein;optimistic Locking;ja;ja;ja;null;Authentifizierung für Zugriff auf Cache mittels Active Directory/LDAP (Rollen: user, administrator);null;null; #25 ;null;null;null;null;null;null;null;null;null;null;null
Project Voldemort;null;Key-Value Store;0,41;#218;null;www.project-voldemort.com;null;null;2009;1.10.25, Juli 2017;Open Source Apache Version 2;nein;;Java;null;null;null;null;null;null;null;null;null;nein;null;null;null;null;nein;null;null;null;null;null;null;null;null; #39 ;null;null;null;null;null;null;null;null;null;null;null
Ehcache;A widely adopted Java cache with tiered storage options;Key-Value Store;6,15;#54;null;www.ehcache.org;www.ehcache.org/documentation;Terracotta Inc, owned by Software AG;2009;3.8.0, Juli 2019;Open Source Apache Version 2, commercial licenses available;nein;;Java;Alle Betriebssysteme mit einer Java VM;schemafrei;ja;nein;nein;nein;JCache;Java;nein;ja Cache Event Listeners;Sharding by using Terracotta Server;ja by using Terracotta Server;nein;Tunable Consistency (Strong, Eventual, Weak);nein;ja supports JTA and can work as an XA resource;ja;ja using a tiered cache-storage approach;ja;null;nein;null;null; #8 ;null;null;null;null;null;null;null;null;null;null;null
IBM Db2 warehouse formerly named IBM dashDB;Data warehousing service aus der Cloud;Relational DBMS;1,99;#114;null;www.ibm.com/products/db2-warehouse;null;IBM;2014;null;kommerziell;ja;;null;gehostet;ja;ja;nein Importieren/Exportieren von XML Daten möglich;ja;ja;.NET Client API JDBC ODBC OLE DB;Java JavaScript (Node.js) Perl PHP Python R Ruby;PL/SQL, SQL PL;ja;Sharding;ja;nein;Immediate Consistency;ja;ACID;ja;ja;ja;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #56 ;null;null;null;null;null;null;null;null;null;null
TimesTen;In-Memory RDBMS compatible to Oracle;Relational DBMS;2,25;#107;null;www.oracle.com/database/timesten-in-memory-database/index.html;www.oracle.com/technetwork/database/database-technologies/timesten/documentation/index.html;Oracle, TimesTen Performance Software, HP originally founded in HP Labs it was acquired by Oracle in 2005;1998;11 Release 2 (11.2.2.8.0);kommerziell;nein;;null;AIX HP-UX Linux OS X Solaris SPARC/x86 Windows;ja;ja;nein;ja;ja;JDBC ODBC ODP.NET Oracle Call Interface (OCI);C C++ Java PL/SQL;PL/SQL;nein;keine;Master-Master Replikation Master-Slave Replikation;nein;Immediate Consistency or Eventual Consistency depending on configuration;ja;ACID;ja;ja by means of logfiles and checkpoints;ja;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #52 ;null;null;null;null;null;null;null;null;null;null
SmallSQL;null;Relational DBMS;0,03;#335;null;www.smallsql.de;null;null;2005;null;Open Source L-GPL;nein;;Java;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #136 ;null;null;null;null;null;null;null;null;null;null
Brytlyt;Scalable GPU-accelerated RDBMS for very fast analytic and streaming workloads, leveraging PostgreSQL;Relational DBMS;0,11;#279;null;www.brytlyt.com;null;Brytlyt;2016;0.9, October 2016;kommerziell;nein;;C, C++ and CUDA;Linux OS X Windows;ja;ja;ja specific XML-type available, but no XML query functionality.;ja;ja;ADO.NET JDBC native C library ODBC streaming API for large objects;.Net C C++ Delphi Java Perl Python Tcl;benutzerdefinierte Funktionen in PL/pgSQL;ja;null;Master-Slave Replikation;nein;Immediate Consistency;ja;ACID;ja;ja;null;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #129 ;null;null;null;null;null;null;null;null;null;null
Objectivity/DB;null;Object oriented DBMS;0,76;#171;null;www.objectivity.com/products/objectivitydb;null;null;1990;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #7 ;null;null;null;null;null;null
Newts;Time Series DBMS basierend auf Cassandra;Time Series DBMS;0,03;#336;null;opennms.github.io/newts;github.com/OpenNMS/newts/wiki;OpenNMS Group;2014;null;Open Source Apache 2.0;nein;;Java;Linux OS X Windows;schemafrei;ja;nein;nein;nein;HTTP REST Java API;Java;nein;nein;Sharding basierend auf Cassandra;frei wählbarer Replikationsfaktor basierend auf Cassandra;nein;Eventual Consistency basierend auf Cassandra Immediate Consistency basierend auf Cassandra;nein;nein;ja;ja;nein;null;nein;null;null;null;null; #29 ;null;null;null;null;null;null;null;null;null
PipelineDB;A RDBMS that runs SQL queries continuously on streams, incrementally storing results in tables. Built upon PostgreSQL.;Relational DBMS;0,25;#247;null;www.pipelinedb.com;docs.pipelinedb.com;null;2015;null;Open Source BSD, GPL V3;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #115 ;null;null;null;null;null;null;null;null;null;null
